Norte,Leste,Elevacao,Data,Prisma,Latitude,Longitude
7768426.832,658199.7855,963.7042,16/02/2024,EL,-20.175047227430387,-43.48610385805999
7768426.2919,658298.9066,941.1974,16/02/2024,PM-30,-20.175043942271987,-43.48515551788929
7768454.1576,658257.7948,941.7616,16/02/2024,PM-31,-20.174795608801034,-43.48555126590035
7768484.395,658216.5806,941.8924,16/02/2024,PM-32,-20.17452585841527,-43.485948199188215
7768515.2735,658175.7827,940.9917,16/02/2024,PM-33,-20.174250281492395,-43.48634120430631
7768367.7381,658257.9681,964.7637,16/02/2024,PM-34,-20.175576250927964,-43.48554206904604
7768396.5728,658216.8571,965.227,16/02/2024,PM-35,-20.17531916327821,-43.48593789476859
7768426.8797,658176.9391,965.0468,16/02/2024,PM-36,-20.175048677548663,-43.486322434134834
7768459.8897,658132.9213,964.6789,16/02/2024,PM-37,-20.174754110288486,-43.48674643061796
7768609.35,658436.91,915.395,16/02/2024,BCGMR-04,-20.173378942931503,-43.48385122440344
7768384.984,658271.7159,958.3093,16/02/2024,PM-04,-20.175419330455412,-43.48541204782367
7768459.6561,658322.1324,924.7252,16/02/2024,PM-19,-20.174740638589142,-43.48493622806262
7768442.8314,658284.6919,939.2262,16/02/2024,PM-21,-20.174895706522232,-43.48529295317684
7768415.1481,658239.1152,956.3975,16/02/2024,PM-03,-20.175149533276798,-43.48572657104731
7768446.5874,658243.6248,947.1801,16/02/2024,PM-06,-20.17486516007017,-43.48568616996752
7768473.7978,658278.909,931.0261,16/02/2024,PM-17,-20.174616453030374,-43.485350979880465
7768500.1466,658127.6011,955.0335,16/02/2024,PM-01,-20.17439089379749,-43.48680083781436
7768453.4356,658188.8315,955.8103,16/02/2024,PM-02,-20.174807809992917,-43.486210974912765
7768401.889,658309.8422,946.4753,16/02/2024,PM-05,-20.175263480804418,-43.48504876736103
7768499.5224,658182.4776,944.1714,16/02/2024,PM-07,-20.174392015382843,-43.486275781065245
7768498.9875,658269.6869,924.6074,16/02/2024,PM-16,-20.174389665670184,-43.48544140512087
7768476.329,658296.79,925.8262,16/02/2024,PM-18,-20.174592114767606,-43.485180133439904
7768474.896,658244.4092,938.2283,16/02/2024,PM-22,-20.174609374334988,-43.48568113486072
7768501.2531,658211.8807,937.2282,16/02/2024,PM-23,-20.17437396049363,-43.48599463320082
7768530.4647,658179.6557,934.9067,16/02/2024,PM-24,-20.17411273537105,-43.4863054759171
7768502.6339,658240.0862,930.7141,16/02/2024,PM-25,-20.174359164554627,-43.48572491232176
7768525.3164,658214.2352,929.2987,16/02/2024,PM-26,-20.174156394672007,-43.48597420624685
7768124.281,657538.905,985.138,16/02/2024,BCGMR-02,-20.177834583176978,-43.49240024806779
7768178.0334,657588.2428,981.3152,16/02/2024,PM-54,-20.177344971682896,-43.49193289276237
7768155.9162,657568.6653,980.1748,16/02/2024,PM-55,-20.177546370200766,-43.49211827302332
